,Children,Age,Income,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Tenure,MonthlyCharge,Bandwidth_GB_Year,Marital_Divorced,Marital_Married,Marital_Never Married,Marital_Separated,Marital_Widowed,Gender_Female,Gender_Male,Gender_Nonbinary,Techie_No,Techie_Yes,Contract_Month-to-month,Contract_One year,Contract_Two Year,Port_modem_No,Port_modem_Yes,Tablet_No,Tablet_Yes,InternetService_DSL,InternetService_Fiber Optic,InternetService_None,Phone_No,Phone_Yes,Multiple_No,Multiple_Yes,OnlineSecurity_No,OnlineSecurity_Yes,OnlineBackup_No,OnlineBackup_Yes,DeviceProtection_No,DeviceProtection_Yes,TechSupport_No,TechSupport_Yes,StreamingTV_No,StreamingTV_Yes,StreamingMovies_No,StreamingMovies_Yes,PaperlessBilling_No,PaperlessBilling_Yes,PaymentMethod_Bank Transfer(automatic),PaymentMethod_Credit Card (automatic),PaymentMethod_Electronic Check,PaymentMethod_Mailed Check
3782,-0.5065919164222484,0.43104000995696373,172372.2,-0.5448235134209818,0.6557058797007002,-1.0058516991026796,-0.6258635316811727,-0.7163003558616385,-1.109992202077757,-0.7517863590363912,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0
1224,2.2878840406739096,-0.2936730627378957,20095.5,0.1428355228798697,1.6471966252158718,1.0175876473118841,-0.6258635316811727,-0.6088894123153296,-0.5864506729914243,-0.6873357403020429,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0
3680,0.4249000692764709,1.0591246729591752,22963.6,0.6597638973765672,-2.3187663568448147,0.005867974104602262,-0.6258635316811727,-0.7916868458050472,0.8739207330529584,-0.7272404699507276,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,0,0,1
2492,0.4249000692764709,-1.1633287499717269,42866.35,0.3321152183744867,-0.3357848658144715,-1.0058516991026796,-0.6258635316811727,-1.201419140973501,1.3976562727655486,-1.1270328650283787,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0
8697,0.8906460621258305,1.0108104681128514,7729.12,-1.7249451408946619,1.316699710044148,1.0175876473118841,0.9466579047036832,0.8092043697747401,-1.1099083660131157,0.5648133045357565,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1
7548,-0.9723379092716081,0.14115478087901998,61449.42,-1.3715527331241726,0.6557058797007002,-1.0058516991026796,-0.6258635316811727,0.26617770967654897,1.6299008020587678,0.2493405654032269,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0
5043,-0.5065919164222484,-1.6464707984349665,26249.7,-0.5560074682685235,0.3252089645289763,2.0293073205191656,-0.6258635316811727,1.1152946597621354,1.9219577059144677,1.2436792503898209,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0
4132,0.4249000692764709,0.6726110341885836,7041.99,0.8983361161002262,0.6557058797007002,1.0175876473118841,-0.6258635316811727,-1.141188688162458,-0.993574182425329,-1.0778208258129511,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0
7544,-0.9723379092716081,-0.970071930586431,47612.31,1.2039139413559412,-0.3357848658144715,0.005867974104602262,-0.6258635316811727,1.1007339692195253,-0.2948378441125705,1.0225950897010077,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0
258,0.4249000692764709,-0.7285009063548112,54349.75,1.3594810630234588,2.969184285902767,-1.0058516991026796,0.9466579047036832,-1.0510999757675223,-1.342011678113006,-1.1614774563793715,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0
5541,-0.9723379092716081,1.107438877805499,27666.82,-0.6121554110460283,-0.0052879506427475865,1.0175876473118841,-0.6258635316811727,0.6765145414500872,1.3972207909853283,0.658612361883934,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0
